algorithm,label,qoe_final,delay_final,energy_final,drop_final,runtime_trimmed_median
droo,DROO,9.418726,8.381749,6.441135,1136.875000,8.743334
qeco,QECO,11.533462,8.140499,12.380946,1019.575000,9.516253
qeco_adapt,QECO-ADAPT,11.742838,8.106122,11.709821,1012.900000,10.547327
twdqn,Tang&Wong DQN,11.530197,8.120909,12.158959,1020.600000,10.275518
